56
5011798	5011873	1	0	0
5012547	5012686	1	0	0
5014385	5014470	1	0	0
5016934	5017144	1	0	0
5022492	5022692	1	1	1
5022492	5022692	1	1	2
5022493	5022692	1	1	3
5022530	5022692	1	1	4
5022532	5022692	1	1	5
5025008	5025048	1	1	1
5025008	5025048	1	1	2
5025008	5025048	1	1	3
5025008	5025048	1	1	4
5025008	5025048	1	1	5
5026279	5026629	1	1	1
5026279	5026629	1	1	3
5026431	5026629	1	1	4
5027934	5028224	1	1	1
5027934	5028224	1	1	2
5027934	5028224	1	1	3
5027934	5028224	1	1	4
5027934	5028224	1	1	5
5032052	5032216	1	1	1
5032052	5032216	1	1	2
5032052	5032216	1	1	3
5032052	5032216	1	1	4
5032052	5032216	1	1	5
5033407	5033442	1	1	1
5033407	5033442	1	1	2
5033407	5033442	1	1	3
5033407	5033442	1	1	4
5033407	5033442	1	1	5
5034581	5034683	1	1	4
5034581	5036124	1	1	5
5034581	5036770	1	1	3
5040584	5040660	1	1	1
5040584	5040665	1	1	2
5073457	5073684	1	2	6
5079293	5079295	2	3	7
5079293	5079295	2	3	8
5079683	5079733	2	3	7
5079683	5079733	2	3	8
5087616	5087866	1	2	6
5116340	5117230	2	3	9
5118690	5118846	2	3	9
5121710	5121802	2	3	7
5121710	5121802	2	3	9
5124755	5124874	2	3	7
5124755	5124874	2	3	8
5124755	5124874	2	3	9
5125878	5125991	2	3	7
5125878	5125991	2	3	8
5125878	5125991	2	3	9
5127083	5127142	2	3	9
5127897	5127926	2	3	7
5127897	5127926	2	3	8
